family,condition,n,assistant_phrase_ratio,assistant_phrase_ratio_sd,first_person_density,first_person_density_sd,mean_sentence_length,mean_sentence_length_sd
llama31_it,empty_baseline,500,0.6895,0.43363033216599733,0.1035892561344718,0.04167672465840376,8.7092,2.2501539629155958
llama31_it,empty_anti,500,0.014,0.09911431427694578,0.015646462886527126,0.028314957693180043,9.713738095238096,3.458732649734057
llama31_it,empty_ablate,500,0.09403571428571428,0.24205373683122028,0.034452330787164274,0.050530830802812995,9.704955555555555,10.056758928903983
llama31_it,empty_anti_ablate,500,0.023733333333333332,0.10572593686143546,0.008334548904079404,0.020957860664673294,10.887226190476191,5.769527359633264
qwen3_it,empty_baseline,500,0.14386571600913706,0.12144727025858396,0.04737817136629313,0.02130301532313285,10.533455589328113,2.4302668601045796
qwen3_it,empty_anti,500,0.053771741081416,0.111191984363771,0.04802620931560567,0.016473953425170013,11.1880681504512,7.3100829693517735
qwen3_it,empty_ablate,500,0.03091978943193777,0.07281646550178746,0.01448100364585473,0.026053666192434058,9.605929320275823,1.7153342842727728
qwen3_it,empty_anti_ablate,500,0.04373333333333333,0.1709556879722218,0.012573239605958105,0.0333387946453607,7.892136507936508,2.572955047811183
olmo3_it,empty_baseline,500,0.3611333333333333,0.07799853837362139,0.13388183345115204,0.026947403339689997,3.186999999999999,1.250439201397967
olmo3_it,empty_anti,500,0.033166666666666664,0.17151425548690116,0.016248537606346532,0.037178017392231,8.184657142857144,3.654394923828456
olmo3_it,empty_ablate,500,0.40342222222222224,0.17615187527772327,0.041962234735292495,0.028030236452864433,8.773916666666668,2.064421528875986
olmo3_it,empty_anti_ablate,500,0.024583333333333332,0.14248103293086295,0.015032090252937629,0.03399269993063776,9.53789797979798,4.435604244198273
aya_expanse,empty_baseline,500,0.17345601865454807,0.1548175135602399,0.02986166028238092,0.020082514360995164,15.954761244311245,3.618251413342317
aya_expanse,empty_anti,500,0.014757936507936506,0.10493853581163931,0.006164386152595425,0.02008682183751505,14.163142773892774,8.213418366899832
aya_expanse,empty_ablate,500,0.14469421862369097,0.1216473034735733,0.04138876440898553,0.014286333503756474,14.901151194393842,4.035341460020483
aya_expanse,empty_anti_ablate,500,0.008782634032634032,0.06450739898565967,0.003598953454752046,0.011726910368680548,14.367408273889852,7.8114861138331
granite41_8b_it,empty_baseline,500,0.46723772893772897,0.22331173649312425,0.06041797305584429,0.048129904593756864,9.673622222222223,4.5809024359116295
granite41_8b_it,empty_anti,500,0.008666666666666666,0.06446256242984104,0.059998944744416194,0.03250906622619321,7.796333333333333,2.650085788640074
granite41_8b_it,empty_ablate,500,0.19428699209287448,0.23329043155383627,0.04372283186651439,0.037511412681242896,13.666732256632256,6.97877304883201
granite41_8b_it,empty_anti_ablate,500,0.030780303030303033,0.14530982870493087,0.05559304858692916,0.03890618078935762,10.34716292335116,4.3786754940725965
